Service;Agent;Time;Medium
IS-Remote Access (VPN)::Client sw malfunction;giorgia;11;Phone
AS-ERMIS::Usage request;kallis;60;Email
IS-Printer support::Usage request;kallis;20;Email
IS-Strategic Software::Usage request-Ms Office 365;kallis;30;Email
IS-Strategic Software::Usage request-Ms Office 365;kallis;30;Email
IS-Telephony::Application connection;kallis;122;Phone
AS-E-Learning::Usage request;kallis;31;Email
IS-Remote Access (VPN)::Usage request;kallis;46;Email
Microsoft Software Support::Usage request - Ms Office;kallis;62;Email
Laptop Support::Usage request;kallis;47;Phone
IS-Electronic Storage::Usage request;kallis;47;Email
Microsoft Software Support::Usage request - MS Windows;petros;10;Email
IS-Remote Access (VPN)::Usage request;petros;16;Email
Specialized software::Usage request;kallis;31;Email
IS-Remote Access (VPN)::Usage request;kallis;31;Email
IS-Strategic Software::Usage request-Ms Office 365;kallis;61;Email
IS-Strategic Software::Usage request-Ms Office 365;kallis;2;Email
IS-Remote Access (VPN)::New computer (installation);kallis;2;Email
Specialized software::New installation;kallis;2;Email
Laptop Support;kallis;49;Email
Laptop Support;kallis;64;Email
Tender management::Needs gathering;kallis;56;Email
Laptop Support;kallis;304;Email
IS-Printer support::Usage request;kallis;25;Email
IS-Fax::Usage request;kallis;35;Email
Laptop Support::Usage request;kallis;37;Email
IS-Peripheral Support::Usage request;kallis;48;Email
Desktop Support::Motherboard malfunction;kallis;616;Email
Specialized software::Usage request;giorgia;249;Email
IS-Strategic Software::Usage request-Ms Office 365;kallis;30;Email
IS-Telephony::Application connection;kallis;20;Email
Laptop Support::Usage request;petros;10;Phone
IS-Data Security and Protection::Phishing;petros;16;Email
Tender management::Orders;kallis;15;Email
IS-Strategic OS-Software-Systems::Personalized setup - Active Directory;kallis;20;Email
Laptop Support::Usage request;kallis;45;Email
Specialized software::Usage request;petros;30;Email
Microsoft Software Support::Usage request - Ms Office;petros;49;Email
Laptop Support::Usage request;petros;66;Phone
Laptop Support;giorgia;75;Email
IS-Remote Access (VPN);giorgia;30;Email
St.Wel-Banner::Web Support;petros;10;Phone
IS-Strategic Software::Usage request-Ms Office 365;petros;14;Email
Microsoft Software Support::Usage request - Ms Office;giorgia;30;Email
IS-Strategic OS-Software-Systems::Personalized setup - Active Directory;giorgia;30;Email
Microsoft Software Support::Usage request - Ms Office;giorgia;30;Email
IS-Remote Access (VPN)::Usage request;giorgia;10;Email
IS-Videoconference::Usage request;giorgia;31;Email
